stt,logo_name,company_name,title,salary,distance_time,feature_new_text,skill,location_detail,reason_job,job_description,skill_experience,love_working,slogan
218,logo-218.png,DAYONE,Senior BUSINESS ANALYST,"1,200 - 2,000 USD",2d,Hot,Business Analyst-Agile,"9-11 Nguyễn Văn Thủ, ĐaKao, quận 1., District 1, Ho Chi Minh","Competitive Salary
Flexible and quality working environment 
Employee Stock option","What you need to do

A Business Analyst’s main duties are as follows: Gather information, write documents, manage requests; organize meetings; research the feasibility/suitability, and being the bridge between requesters and tech team. In details:

Analyze and clarify internal/ external client’s requirements;
Analyze and provide models and solutions based on collected requirements;
Write software business and use case specification documents; Advise on building prototype;
Advice from a professional perspective based on analysis and research.
Communicate the content, support project members, and manage the project to meet client’s expectation;
Documentation of the system manuals.
Organize instruction, support for users to use the product and troubleshoot when problems occur.
Other tasks assigned by the Line Manager.","What you should have

At least 5 years of experience at relevant positions;
B.A. or B.S. degree in IT, or equivalent work or educational experience;
Knowledge and understanding as well as experience of software development;
Able to use system design and application tools;
Good at problem analysing, problem solving skills
Good logical thinking & multi-tasking skill
Able to analyse software design and information system design.
Good teamwork skill, communication and presentation skills","What we offer:

Bao Viet Healthcare insurance.
Good chance to study and develop a stable career path.
Quality work environment, flexibility, being innovative and rewarded for efforts. 
You will be able to join our ESOP (Employee Stock Option Program) allowing you to financially share in our future success.",‘GOT IT’ a pioneer of mobile gifting/ rewarding/ loyalty program redemption in Vietnam
219,logo-219.png,IHOUZZ TECH,"Data Engineer (Python, Java, NodeJS)",2000$,2d,Hot,Java-Python-NodeJS,"S? 2W Ung V?n Khiêm, Ph??ng 25, Binh Thanh, Ho Chi Minh","Fast growing Proptech company
Yearly Performance bobus
Good Environment &amp; Great Team","The engineer is responsible for the data product’s implementation. Supervisor quality of product to make sure its functions meet requirements.

·       Research new technology to apply for big data products. Continuously suggest advanced technical solutions to make the product best.

·       Work with leader very closely to make sure each other opinions are aligned.

·       Hand-on development of features through architect, design, and implementation.

·       Code yourself, perform code review and code optimization for maximizing system performance.","      2+ years of hands-on software development experience

·       Has good knowledge about coding principles (SOLID, DRY)

·       Expertise in object oriented analysis, design concepts and design patterns 

·       Has experience with writing testing - unit test, integration test

·       Experience with NodeJS, Python, Java

·       Experience working with multiple databases: relational database (PostgreSQL), NoSQL (MongoDB), graph database (Neo4j) and data warehouse (AWS Redshift)

·       Experience with data pipeline/processing data (full and incremental loading)

·       Basic skills in web development technologies like HTML, CSS, and JavaScript, ReactJS

·       Experience working in a UNIX and/or LINUX environment

·       Good understanding of how web applications work including knowledge of the HTTP protocol, request/response cycles and session management

Bonus points

·       Experience with AWS Cloud

·       Experience in designing database/data warehouse (relational and dimensional modeling)

·       Experience working in Business Intelligence (BI)

·       Interest in machine learning"," Be able to fully participate in social insurance, health insurance and unemployment insurance in accordance with the laws and regulations of the Company. Insurance are based on full salary. In addition, the Company will provide employees with Bao Viet Health Insurance.

·       Holiday bonus and lunch allowance.

·       Increasing salary based on employees' KPIs and productivity.

·       13th month salary bonus, annual productivity salary, ...

·       Be able to join training courses and participate in soft skills development courses according to the Company's policy;

·       Opportunity to learn and develop professional knowledge and skills.

·       Increasing salary for qualified employees, as well as enthusiastic and long-term employees of the Company.

·       Team building every year.",none
220,logo-220.png,IHOUZZ TECH,"AI Engineer (Python, SQL, Linux)",1700$,2d,Hot,Python-Linux-SQL,"S? 2W Ung V?n Khiêm, Ph??ng 25, Binh Thanh, Ho Chi Minh","Fast growing Proptech company
Yearly Performance bobus
Good Environment &amp; Great Team","The engineer is responsible for the data product’s implementation. Supervisor quality of product to make sure its functions meet requirements.

·       Research new technology to apply for big data products. Continuously suggest advanced technical solutions to make the product best.

·       Work with leader very closely to make sure each other opinions are aligned.

·       Hand-on development of features through architect, design, and implementation.

·       Code yourself, perform code review and code optimization for maximizing system performance.","      2+ years of hands-on software development experience

·       Has good knowledge about coding principles (SOLID, DRY)

·       Expertise in object oriented analysis, design concepts and design patterns 

·       Has experience with writing testing - unit test, integration test

·       Experience with NodeJS, Python, Java

·       Experience working with multiple databases: relational database (PostgreSQL), NoSQL (MongoDB), graph database (Neo4j) and data warehouse (AWS Redshift)

·       Experience with data pipeline/processing data (full and incremental loading)

·       Basic skills in web development technologies like HTML, CSS, and JavaScript, ReactJS

·       Experience working in a UNIX and/or LINUX environment

·       Good understanding of how web applications work including knowledge of the HTTP protocol, request/response cycles and session management

Bonus points

·       Experience with AWS Cloud

·       Experience in designing database/data warehouse (relational and dimensional modeling)

·       Experience working in Business Intelligence (BI)

·       Interest in machine learning"," Be able to fully participate in social insurance, health insurance and unemployment insurance in accordance with the laws and regulations of the Company. Insurance are based on full salary. In addition, the Company will provide employees with Bao Viet Health Insurance.

·       Holiday bonus and lunch allowance.

·       Increasing salary based on employees' KPIs and productivity.

·       13th month salary bonus, annual productivity salary, ...

·       Be able to join training courses and participate in soft skills development courses according to the Company's policy;

·       Opportunity to learn and develop professional knowledge and skills.

·       Increasing salary for qualified employees, as well as enthusiastic and long-term employees of the Company.

·       Team building every year.",none
221,logo-221.png,IHOUZZ TECH,"Data Analyst (Python, Java, SQL)",Min 1300$,2d,Hot,Java-Python-SQL,"Số 2W Ung Văn Khiêm, Phường 25, Binh Thanh, Ho Chi Minh","Fast growing Proptech company
Yearly Performance bobus
Good Environment &amp; Great Team","The engineer is responsible for the data product’s implementation. Supervisor quality of product to make sure its functions meet requirements.

·       Research new technology to apply for big data products. Continuously suggest advanced technical solutions to make the product best.

·       Work with leader very closely to make sure each other opinions are aligned.

·       Hand-on development of features through architect, design, and implementation.

·       Code yourself, perform code review and code optimization for maximizing system performance.","      2+ years of hands-on software development experience

·       Has good knowledge about coding principles (SOLID, DRY)

·       Expertise in object oriented analysis, design concepts and design patterns 

·       Has experience with writing testing - unit test, integration test

·       Experience with NodeJS, Python, Java

·       Experience working with multiple databases: relational database (PostgreSQL), NoSQL (MongoDB), graph database (Neo4j) and data warehouse (AWS Redshift)

·       Experience with data pipeline/processing data (full and incremental loading)

·       Basic skills in web development technologies like HTML, CSS, and JavaScript, ReactJS

·       Experience working in a UNIX and/or LINUX environment

·       Good understanding of how web applications work including knowledge of the HTTP protocol, request/response cycles and session management

Bonus points

·       Experience with AWS Cloud

·       Experience in designing database/data warehouse (relational and dimensional modeling)

·       Experience working in Business Intelligence (BI)

·       Interest in machine learning"," Be able to fully participate in social insurance, health insurance and unemployment insurance in accordance with the laws and regulations of the Company. Insurance are based on full salary. In addition, the Company will provide employees with Bao Viet Health Insurance.

·       Holiday bonus and lunch allowance.

·       Increasing salary based on employees' KPIs and productivity.

·       13th month salary bonus, annual productivity salary, ...

·       Be able to join training courses and participate in soft skills development courses according to the Company's policy;

·       Opportunity to learn and develop professional knowledge and skills.

·       Increasing salary for qualified employees, as well as enthusiastic and long-term employees of the Company.

·       Team building every year.",IHOUZZ TECHNOLOGY JOINT STOCK COMPANY
222,logo-222.png,Be Group,Security Engineer - Pentester,You'll love it,2d,Hot,Cloud-System Engineer-System Admin-Fresher Accepted,"ILA building, 146 Nguyen Dinh Chieu, Ward 6, District 3, HCMc, District 3, Ho Chi Minh","Flexibility to perform
Careers without boundaries
Learning and development opportunities","OUR TECHSTACK

Our core services consist hundreds of Golang microservices built around domain oriented, event driven architecture. All run on GCP, GKE, Istio with autoscaling, resiliency and chaos engineering mindset with full end to end observability.
Our mobile platform was running on Flutter, component based, composable architecture. Web app largely on TypeScript, React, NextJS, Tailwind CSS and composable in-house design components and framework.
Gitlab for all code repository, CI/CD, with Backstage as centralized developer productivity platform.
Devops culture, you are fully responsible with design, build, and operate your own services with support from SRE, Platform team as needed
Open source lover, and open source contributor. All tooling and platforms used was in-house custom built on popular open source projects
JOB RESPONSIBILITIES

Periodically conduct commodity inspection and security assessment Information Security for the company’s system & applications
Work closely with the Developer during the app-deploy process to consult & check the quality of the application’s information security.
Research and implementation: Decompile software, study code to exploit faulty software.
Check and review server system security, device security.
Research new security holes, build information security solutions
Participating in completing the processes of information security","Understanding of systems base, operating systems, networks system.
Knowledge of vulnerabilities and attack techniques, web application exploitation (OWASP Top 10, SANS Top 25, OSSTMM, PTES…)
Experience in the following areas:
+ Commodity Testing Web Application Import (Web Application Penetration Testing)
+ Application Mobile Testing (Mobile App Penetration Testing)
Priority candidates have participated in Information Security Contests of e-commerce, banks, finance companies …
Preferred candidates have participated in the CTF competition
Having reported bugs on HackerOne, Bugcrowd… is an advantage
Accepting fresher, priority is given to those who have been interns and collaborators in the respective field.","Spirit

Embraced engineering culture, and agile development.
Accept failures, learn from it and move extremely fast.
Flexible working environment, and performance-based optimization focus
Ownership and excellent learning opportunity, in-house and external
Be part of the team, who set the trend, influence and build meaningful product to millions of fellow Vietnamese
Benefits

13th salary
Social Insurance
Medical healthcare
Annual health check
15 days annual leave
Transportation fee (BE's services)
Performance bonus
Holiday bonus
Team Building and many engagement activities",Make your career fly by working at BE GROUP
223,logo-223.png,Minerva Technology Solutions,"Fresh/Jr Mobile Developer (iOS, Android)","500 - 1,000 USD",2d,Hot,iOS-Android-Swift-Fresher Accepted,"927 Trần Hưng Đạo, District 5, Ho Chi Minh","Cơ hội phát triển
Cơ hội được đào tạo tại Hongkong
Lương thưởng theo dự án","Đảm nhiệm công việc theo yêu cầu phát triển ứng dụng.
Tham gia vào quá trình phát triển các sản phẩm online.
Tham gia vào quá trình phát triển ý tưởng, ứng dụng mới.
Phát triển, nâng cấp và tối ưu các ứng dụng mobile trên các nền tảng Android hoặc iOS.
Thiết kế tính năng tương tác (touch, zoom & pan…) và UI/UX cho các giao diện mobile.
Phát triển các ứng dụng Mobile App trong lĩnh vực Nông nghiệp.
Các ứng dụng trong quản lý doanh nghiệp, quản lý sản xuất, nhân sự.
Các ứng dụng dự báo.
Các ứng dụng quản lý chuỗi.","Ứng viên từ: 0 – 3 năm kinh nghiệm, cơ hội cho cả các bạn mới ra trường.
Tốt nghiệp Cao đẳng/Đại học chuyên ngành: Công Nghệ Thông Tin, Công Nghệ Phần Mềm.
Có kỹ năng và kiến thức chuyên sâu về Swift hoặc Kotlin/Java Android.
Có kinh nghiệm với các framework như Core Data, Core Animation, chuẩn mực thiết kế UI/UX
Có kiến thức sử dụng hệ quản trị cơ sở dữ liệu như: SQLite, Realm, …
Biết sử dụng các công cụ như Git, SVN…
Có kiến thức về xây dựng các thư viện bằng ngôn ngữ bậc thấp như C là lợi thế.
Có kiến thức design pattern (MVC, MVP, MVVM...)
Có kiến thức tốt về JSON, REST Api, Thread, Tối ưu hóa bộ nhớ.
Hiểu biết tốt về lập trình OOP
Đọc hiểu tài liệu tiếng Anh tốt.
Làm việc độc lập/đội nhóm tốt, Siêng năng, ham học hỏi, có trách nhiệm với công việc.
Có khả năng chịu áp lực công việc cao, tư duy logic tốt.","Thu nhập theo thỏa thuận, tùy theo năng lực
Thưởng theo dự án tham gia 
Ứng viên mới ra trường, chưa có kinh nghiệm sẽ được đào tạo thêm khi được nhận.
Được tiếp cận công nghệ Big Data, Machine Learning, IoT.
Được thực hiện các dự án quốc gia, quốc tế về lĩnh vực nông nghiệp.
Được tham gia các khóa đào tạo chuyên môn.
Được hưởng đầy đủ các chính sách BHXH, BHYT, BHTN.
Được hưởng lương tháng 13
Du lịch hằng năm cùng công ty, các hoạt động teambuilding.",MINERVA TECHNOLOGY SOLUTIONS JSC
224,logo-224.png,Silentium Vietnam,"Senior Product Manager - Up to $ 5,000","2,500 - 5,000 USD",2d,Hot,Product Manager-Project Manager-Manager,"President Place - 93 Nguyen Du , District 1, Ho Chi Minh","At Silentium, we value attitude the most
We succeed as a team
We fail and learn, together","As a product manager:

The product is your spirit child, you are responsible to

Understand the problem, discover opportunities
Define, validate, and refine opportunities
Facilitate solutions discovery
Ship the product and iterate
Building user empathy, discovering and defining opportunities to advance toward the product's vision:

We believe in the user-centric design thinking process, and lean. We believe the only way to make an impact is to fully understand end-user needs, pioneer, and validate users' expectations via ""whatever- it-takes"" user experience researches. Through the process, we learn, we try, and we learn from our mistakes to deliver the product that people love.

The product manager must be comfortable and flexible in applying user experience techniques to make sure that we are building the right thing. Some of the workshops we run frequently and we expect our product managers to be able to run and advance

Service Blueprint
User Journey
User Story Mapping
Empathy Map
Personas/Jobs-to-be-done
A/B testing
Collecting feedback prototyping
Flow chart
Qualitative and quantitative research
The sky is the limit, we don't limit or restrict ourselves to those plays

We will not just ""feel"" if the opportunity is actually making an impact, the Product Manager will be a workout on the meaningful metrics to measure the success of the initiative and to make a decision if it is worth further investment.

Spread the enthusiasm, build up the team's product mindset:

Product development is a hard-work; you have to figure out the best way to do it with the team, and you have to figure out how to do the right thing. It's absolutely state-of-the-art teamwork.

We are a strong believer in the team's ownership. We do believe we can only go fast and far only if we empower the team to do the thing. A part of that is how to advance the team toward the product's ownership. The Product Manager to join work with the Design

Manager and Engineering manager to equip team members with the necessary product mindset via workshops and sharing sessions. These activities are expected but not limited to

User story mapping - build knowledge together
Event storming - build knowledge together
Retrospective - continuous learning and refining","The candidate for the Product Manager role should have:

Experienced in build and launch a successful product
Minimum 4 years of experience in Product Management
Excellent in written and verbal communication
Systematic and analytical thinking. The product is yet to have real-user, it is challenging to put a metric on, but we'll have to
Proven ability to influence cross-functional teams without formal authority
Enthusiasm in tackling the hard and chaotic thing
Excellent teamwork and empathy to other functional teams
Interview process:

You'll be given a straightforward screening test at application (may take around 2- 3 hours). Please give us a submission timeline once you fully understand the requirement. After the submission, we'll give you the feedback within a working day
The next step is a face-to-face interview with the CTO where we'll talk about technical skills and experience. The interview will be around 1 - 2 hours
After that, there'll be peer to peer interview where you'll have a chance to know more about your teammates. The ultimate result will be given within 3 working days.","Why should you be excited to join us?

Salary: Gross up to $ 5000. Negotiable salary according to ability.
Full salary in probation
Full Social, Medical & Unemployment Insurance
A lot of ownership of your work. We tackle challenges, as a team
Chance to design complicated system and see that comes live
Very open environment, no hierarchy, we want you to be the change you seek
Grab support to work at a beautiful office in D1 with snack and coffee at pantry, laptop and extra monitor etc.
Up to 15 days of annual leaves with a loyalty program, and national holidays,
Adding day off of plus Christmas leave (25/12) + Vietnamese Family Day (28/6) + Birthday leave
Premium health insurance for you and your loved ones
13th-month bonus salary+ an annual performance evaluation
Join in various team building, company trip, year-end party, tech talks and a lot of charity events
Lunch and parking allowance
Big chance to grow as a person. We move fast, so you'll soon realize that you have to make a lot of decisions on your own
Even bigger chance to grow as an engineer. We're all open to try and apply new technology; if it doesn't work, well, we have learned
Sick leave support; and lots of activities.
Acknowledgement of Covid-19 pandemic

All Silenteers will need to work from home to ensure safety. New member will get designated supports:

Working devices will be delivered at door upon the new member's joining date
Onboarding will be organized virtually by both the HR personnel and the new team.
The HR personnel will be available for any support needs of the new member",none
225,logo-225.png,"Viator, a Tripadvisor company, in partnership with Positive Thinking Company","Automation QA/QC (Selenium,API)",You'll love it,2d,Hot,QA QC-Java-Tester,"Etown 364 Cong Hoa, Tan Binh, Ho Chi Minh"," Sustainable growth - no probation
Collaborate with great people to build great thing
Work with the latest technologies","Review functional and non-functional specifications as they are prepared by the Product Owner
Create test cases for user stories and estimate the QA efforts for the upcoming Scrum sprint
Setup, design, implement and maintain automation tests and continuous integration build jobs
Plan, prepare, and execute manual and automated test cases
Analyze test results including troubleshooting and problem determination
Provide test reports for major releases
Provide continuous support and guidance to less senior colleagues through regular coaching activities and support them in fulfilling their personal development plans","5 years experience in Software Testing with at least +3 years’ automation testing experience
Hands-on experience in designing, implementing, and executing test automation with Selenium, Postman…
Hands-on experience with test case management tools (JIRA/TestRail)
Strong experience in testing web-based (Backend, API…) software.
Experience in developing end-to-end tests for complex solutions for large-scale enterprise systems.
Strong English communication skills (both verbal & written), especially in a global software development environment
Good attitude and mindset: organized, detail-oriented, quality-oriented and automation-oriented
Be happy to coach, mentor, and train less senior colleagues
Working experience in an Agile – Scrum environment
Computer Science degree or equivalent","Here at the Viator team, we don’t just offer you a job, we offer you your future. Here’s your chance to get your hands on…

Sustainable growth - no probation
The latest technologies for product development
The finest IT tools to raise your potential to even greater heights
The power to deliver truly awesome products
Professional training and certification programs
English training with a native English teacher
Flexible schedules, great benefits and bonuses
Private health care program
Access to global opportunities",You would like to join a highly motivated team in a first class environment?
226,logo-226.png,Tenpoint7,Data Scientist (Python/Database/SQL),"Up to $3,000",2d,Hot,Python-Database-SQL,"104 Mai Thi Luu, Dakao, District 1, Ho Chi Minh","Online interview
Bonus on 13th salary
Flexible hours + work remote","POSITION OVERVIEW

TenPoint7 is looking to hire an experienced Data Scientist in Ho Chi Minh City, Vietnam. As a Data Scientist, you will have the unique opportunity to influence the growth and strategy of a recent US based SaaS (Software-as-a-Service) phenomenon. Team with US clients and help them solve their toughest data analytics and insight challenges. TenPoint7 also has an academic collaboration with the prestigious John von Neumann Institute (JVN) (Vietnam National University, HCMC) sponsoring a select few students enrolled in the new Data Analytics major program (Master’s degree). You will have the added unique opportunity to work closely with these students on select TenPoint7 projects while preparing them to be tomorrow’s credible and valuable data scientists.

WHAT YOU WILL DO

Work with TenPoint7 Data Engineers to design and develop the TenPoint7 Cloud platform focusing on integration of scientific algorithms into the SaaS data pipeline.
Collaborate with clients and TenPoint7 Data Analysts and Data Consultants to define and build advanced analytics apps.
Team with TenPoint7’s US-based data science leadership team and US clients to propose analytic solutions/models aligned with client business needs.
Be responsible for the design, development & delivery of suitable analytic apps for each client based on industrial-sized data sets that typically will include model building; data acquisition, cleanup and filtering; identification of patterns & feature extraction; variable selection; experimentation with algorithms and performance analysis. You will be given responsibility for the overall quality & fit of the delivered solution/model.
Assist in project management activities such as scoping projects, estimating work effort, assigning tasks to the Data Analytics students, identifying & communicating milestones and results, resolving project issues/risks, and transitioning solution to client team. Through all of these activities, you will collaborate closely across multi-functional client project and leadership teams.
Play a vital role in creating data science based analytics apps and cloud based data pipeline by developing and implementing re-usable analytical/statistical methodologies, processes and solutions that generate deeper and quicker analytical insights that can be then deployed as features of the TenPoint7 Cloud.
Train, develop & mentor the Data Analytics students through knowledge sharing sessions, encouragement to undertake relevant research activities, and other appropriate methods.","Who You Are

Master’s degree in Statistics, Applied Mathematics, Machine Learning, Computer Science, Econometrics or other related quantitative fields from a good university.
Bachelor’s degree with relevant and sufficient work experience is also acceptable.
2-3 years industry experience (preferably in US or Europe) with a demonstrable track record of leveraging Data Science techniques on high-volume & high dimensionality of data that made a solid business impact. Experience working in a consulting services capacity while delivering data science projects will be a huge plus (though not necessary).
Expertise in predictive analytics, statistical modeling and/or data mining algorithms is necessary. Must have knowledge and/or professional experience in some of the following: Multivariate Regression, Logistic Regression, Support Vector Machines, Bagging, Boosting, Decision Trees, and clustering algorithms.
People management experience having managed small to mid sized teams of Jr. Data Scientists/Analysts, graduate or doctoral students, or other technical staff. Native-like fluency in Vietnamese & business proficiency in English language skills is a must.
Solid proficiency and working experience with at least some statistical software packages and analysis tools such as R, SAS, SPSS, or MATLAB.
Advanced skills in writing code in Python or Perl.
Working experience in Hadoop, Spark, Storm or related distributed platforms and associated languages such as Pig, Hive, or Mahout.
Strong knowledge and skills with SQL and relational and non-relational databases.
Solid communication and presentation skills, including the ability to clearly articulate the solution and implications of a complex model to all types of audiences, and utilize presentation tools such as MS PowerPoint, Prezi, and/or Visio.","TENPOINT7’S COMMITMENT TO YOU

TenPoint7 is on a mission to build tomorrow’s data scientists while engaging with enterprises today to solve their current data insight challenges. Our academia/industry partnership is unique and progressive led by a thoroughly experienced group of entrepreneurs, industry professionals and world-class scientists/faculty members. We can guarantee a hyper entrepreneurial environment that will be extremely engaging, fastpaced, working in close collaboration with both academia and industry to provide the best possible solutions and experiences for US enterprises while simultaneously preparing & mentoring Vietnam’s brightest upcoming talent for tomorrow’s scientific workforce.

TenPoint7 provides the following perks that include:

Highly competitive commercial salaries w/ bonus on 13th month
Paid premium healthcare
Using and improving English every day
No limit on your career development, we take excellent care of our talents.
Two days off per week,15 days of annual leave per year.
Company trip, team building every year
Happy hours with free snacks, soft drinks, fruit, and coffee etc.
Celebrating party: team lunch, birthday, welcome, other activities.
Solid benefits package offered including private health insurance, good amount of holidays, profit sharing possibility and working in a new & modern co-sharing office complex.
Build a growing Data Science commercial practice, get hands-on experience conducting business development, and influence TenPoint7’s growth strategy and direction.
Unique opportunity to make a real-world impact – we are addressing tomorrow’s global human resource problem of a critical shortage in data-intense skill sets.
Continuous growth opportunities via nurturing top talent at one of Vietnam’s highly regarded and prestigious higher-learning institutions (JVN).
Continuous professional development through sponsored certifications and attendance at relevant industry conferences.
A very open & thoroughly entrepreneurial culture that fosters collaborative learning and sharing of ideas & solutions.",none
227,logo-227.png,Be Group,Senior Site Reliability Engineer,"2,000 - 3,000 USD",2d,Hot,DevOps-Cloud,"ILA building, 146 Nguyen Dinh Chieu, Ward 6, District 3, HCMc, District 3, Ho Chi Minh","Flexibility to perform
Careers without boundaries
Learning and development opportunities","OUR TECH STACK

- Our core services consist hundreds of Golang microservices built around domain oriented, event driven architecture. All run on GCP, GKE, Istio with autoscaling, resiliency and chaos engineering mindset with full end to end observability.
- Our mobile platform was running on Flutter, component based, composable architecture. Web app largely on TypeScript, React, NextJS, Tailwind CSS and composable in-house design components and framework.
- Gitlab for all code repository, CI/CD, with Backstage as centralized developer productivity platform.
- Devops culture, you are fully responsible with design, build, and operate your own services with support from SRE, Platform team as needed
- Open source lover, and open source contributor. All tooling and platforms used was in-house custom built on popular open source projects

JOB RESPONSIBILITIES

SRE team is responsible for overall infrastructure platform at Be. We build, operate, optimize and secure highly scalable cloud infrastructure across all business line, including Ride Hailing, Delivery, Mobility and Digital Bank. Automation, self service DevOps culture is what we believe in and empower engineering team. Open source, and builder mindset sits at our core value, and as part of technology group, we always looking at best, modern open source technology to apply to our user and products

- Work with engineering team to build and operate high performance, and scalable services
- Work with data team to ensure stability and scalability of data platform
- Improve CI/CD pipeline and overall developer efficiency in operating their own services
- On-call services and participate in incidents troubleshooting and post-mortems process
- Coach and empower DevOps culture among engineering team"," Have 5+ years of experience in system engineering
- Passionate in automation
- Experience in Cloud computing technologies and cloud native stack
- Experience in Kubernetes and container technologies
- Solid understanding of OSI model and networking underlying
- Experience in one of the programming/scripting languages: Go, Python, Nodejs, Bash
- Good communicator, be a team player and independent at the same time.
- Ability to work independently","SPIRIT

- Embraced engineering culture, and agile development.
- Accept failures, learn from it and move extremely fast.
- Flexible working environment, and performance-based optimization focus
- Ownership and excellent learning opportunity, in-house and external
- Be part of the team, who set the trend, influence and build meaningful product to millions of fellow Vietnamese

BENEFITS

13th salary
Social Insurance
Medical healthcare
Annual health check
15 days annual leave
Transportation fee (BE's services)
Performance bonus
Holiday bonus
Team Building and many engagement activities",Make your career fly by working at BE GROUP
228,logo-228.png,ZALORA Group,Senior Frontend (JavaScript/TypeScript),Competitive,2d,Hot,JavaScript-ReactJS-VueJS,"12 Ton Dan, District 4, Ho Chi Minh","Lương & Thưởng đến 3 tháng
Cấp Macbook
Hệ thống cơ sở dữ liệu lớn","ZALORA Engineering is seeking a full-time Frontend Engineer to work on its high profile customer-facing products.

As a Frontend Engineer, you will work in a cross-functional team working on a specific area of the product vision. You will hack on our desktop and mobile web sites to deliver a WOW experience to our customers. You will have the chance to hack in PHP, JavaScript, Elm, and Go.
We are on a mission to reduce our time-to-impact, which means we're making efforts to innovate on our CI/CD pipeline, our build system, our coding guidelines, and our development workflow.
 

Responsibilities

Work in cross-functional team to build product features for the web platform.
Work with front-end team to reduce time-to-impact.
Your Skills and Experience
Experience with server-side rendered web development.
Proficient in JavaScript, ECMAScript, or TypeScript.
Strong Computer Science fundamentals.
Knowledge of web standards: e.g. CSS and HTML.
Experience developing web applications in reactive or functional idioms nice to have: e.g. React, Vue, Elm, PureScript, ReasonML.","Experience with server-side rendered web development.
Proficient in JavaScript, ECMAScript, or TypeScript.
Strong Computer Science fundamentals.
Knowledge of web standards: e.g. CSS and HTML.
Experience developing web applications in reactive or functional idioms nice to have: e.g. React, Vue, Elm, PureScript, ReasonML.","ZALORA is the leading e-commerce company providing fashion throughout South East Asia. ZALORA Engineering has teams in Singapore and Vietnam to serve millions of users in Malaysia, Singapore, Hong Kong, Taiwan, Indonesia, Philippines. This regional diversity presents a lot of interesting challenges that you and your colleagues will face. You will learn a lot by tackling these challenges.

ZALORA's e-commerce platform is built with love by the engineering team. The Ho Chi Minh office, 12 Ton Dan, D4 (ZALORA Group) focuses completely on engineering and sets a high standard for software development in the field of e-commerce. This team creates the tech stack that powers ZALORA's stellar shopping experience. This ranges from the online shop and the mobile apps to ZALORA's complex logistics solutions.

Macs will be provided
Opportunity to gain exposure working in 6 Southeast Asian markets
Premium Healthcare insurance (support for parents, spouse, and children)
Yearly performance bonus (up to 3 months)
15 days annual leave
Company trip every year and many outing trips
Budget for your individual training",ZALORA Group is Asia Pacific’s leading group of online fashion destinations.
229,logo-229.png,ZALORA Group,"3 Sr Backend Developers (PHP, Golang)",Competitive,2d,Hot,PHP-Java-Golang,"12 Ton Dan, District 4, Ho Chi Minh","Lương & Thưởng đến 3 tháng
Cấp Macbook
Hệ thống cơ sở dữ liệu lớn","ZALORA Engineering is seeking a full-time Frontend Engineer to work on its high profile customer-facing products.

As a Frontend Engineer, you will work in a cross-functional team working on a specific area of the product vision. You will hack on our desktop and mobile web sites to deliver a WOW experience to our customers. You will have the chance to hack in PHP, JavaScript, Elm, and Go.
We are on a mission to reduce our time-to-impact, which means we're making efforts to innovate on our CI/CD pipeline, our build system, our coding guidelines, and our development workflow.
 

Responsibilities

Work in cross-functional team to build product features for the web platform.
Work with front-end team to reduce time-to-impact.
Your Skills and Experience
Experience with server-side rendered web development.
Proficient in JavaScript, ECMAScript, or TypeScript.
Strong Computer Science fundamentals.
Knowledge of web standards: e.g. CSS and HTML.
Experience developing web applications in reactive or functional idioms nice to have: e.g. React, Vue, Elm, PureScript, ReasonML.","Experience with server-side rendered web development.
Proficient in JavaScript, ECMAScript, or TypeScript.
Strong Computer Science fundamentals.
Knowledge of web standards: e.g. CSS and HTML.
Experience developing web applications in reactive or functional idioms nice to have: e.g. React, Vue, Elm, PureScript, ReasonML.","ZALORA is the leading e-commerce company providing fashion throughout South East Asia. ZALORA Engineering has teams in Singapore and Vietnam to serve millions of users in Malaysia, Singapore, Hong Kong, Taiwan, Indonesia, Philippines. This regional diversity presents a lot of interesting challenges that you and your colleagues will face. You will learn a lot by tackling these challenges.

ZALORA's e-commerce platform is built with love by the engineering team. The Ho Chi Minh office, 12 Ton Dan, D4 (ZALORA Group) focuses completely on engineering and sets a high standard for software development in the field of e-commerce. This team creates the tech stack that powers ZALORA's stellar shopping experience. This ranges from the online shop and the mobile apps to ZALORA's complex logistics solutions.

Macs will be provided
Opportunity to gain exposure working in 6 Southeast Asian markets
Premium Healthcare insurance (support for parents, spouse, and children)
Yearly performance bonus (up to 3 months)
15 days annual leave
Company trip every year and many outing trips
Budget for your individual training",ZALORA Group is Asia Pacific’s leading group of online fashion destinations.
